# Mean streamwise velocity along centerline behind cylinder (Re=3900).
# Experimental data of Lourenco & Shih (1993) digitized from Fig. 7
# of Lysenko et al. (2012).
# Digitized by mesnardo on 2020/05/22.
# x/D, <u>/U_inf
0.563830, -0.030246
0.670213, -0.069943
0.744681, -0.090737
0.819149, -0.139887
0.893617, -0.170132
0.978723, -0.190926
1.063830, -0.209830
1.127660, -0.240076
1.212766, -0.249527
1.297872, -0.230624
1.372340, -0.190926
1.457447, -0.139887
1.542553, -0.090737
1.606383, -0.049149
1.680851, 0.009452
1.776596, 0.069943
1.851064, 0.109641
1.946809, 0.160681
2.021277, 0.219282
2.106383, 0.249527
2.191489, 0.279773
2.255319, 0.310019
2.340426, 0.330813
2.414894, 0.349716
2.500000, 0.379962
2.585106, 0.400756
2.638298, 0.410208
2.744681, 0.410208
2.808511, 0.440454
2.904255, 0.459357
2.978723, 0.489603
3.063830, 0.519849
3.138298, 0.550095
3.223404, 0.580340
3.297872, 0.599244
3.382979, 0.629490
3.457447, 0.659735
3.553191, 0.691871
3.638298, 0.680529
3.734043, 0.671078
3.776596, 0.699433
3.861702, 0.720227
3.946809, 0.718336
4.117021, 0.739130
4.180851, 0.750473
4.265957, 0.759924
4.340426, 0.759924
4.425532, 0.759924
