# Mean streamwise velocity along vertical profiles behind cylinder (Re=3900).
# Experimental data of Lourenco & Shih (1993) digitized from Fig. 8
# of Lysenko et al. (2012).
# Digitized by mesnardo on 2020/05/22.
# y/D, <u>/U_inf
-1.620853, 4.615385
-1.526066, 4.615385
-1.443918, 4.636364
-1.368088, 4.643357
-1.285940, 4.657343
-1.210111, 4.664336
-1.134281, 4.678322
-1.058452, 4.692308
-0.976303, 4.706294
-0.881517, 4.713287
-0.805687, 4.720280
-0.729858, 4.671329
-0.647709, 4.475524
-0.559242, 4.174825
-0.489731, 3.909091
-0.413902, 3.720280
-0.331754, 3.573427
-0.236967, 3.433566
-0.173776, 3.335664
-0.085308, 3.286713
-0.015798, 3.265734
0.072670, 3.272727
0.148499, 3.356643
0.230648, 3.426573
0.312796, 3.566434
0.394945, 3.720280
0.483412, 3.916084
0.552923, 4.188811
0.647709, 4.482517
0.710900, 4.671329
0.799368, 4.748252
0.868878, 4.720280
0.951027, 4.706294
1.039494, 4.699301
1.127962, 4.678322
1.197472, 4.678322
1.285940, 4.664336
1.361769, 4.650350
1.437599, 4.643357
1.519747, 4.622378
1.601896, 4.629371
-1.620853, 3.104895
-1.538705, 3.111888
-1.450237, 3.111888
-1.374408, 3.111888
-1.292259, 3.104895
-1.210111, 3.104895
-1.134281, 3.118881
-1.052133, 3.104895
-0.969984, 3.118881
-0.894155, 3.111888
-0.812006, 3.076923
-0.729858, 3.000000
-0.647709, 2.888112
-0.565561, 2.713287
-0.496051, 2.538462
-0.407583, 2.377622
-0.338073, 2.258741
-0.236967, 2.111888
-0.161137, 2.013986
-0.085308, 1.923077
-0.009479, 1.909091
0.066351, 1.944056
0.148499, 2.013986
0.243286, 2.125874
0.319115, 2.265734
0.401264, 2.405594
0.483412, 2.545455
0.552923, 2.706294
0.628752, 2.888112
0.717220, 3.006993
0.799368, 3.083916
0.887836, 3.111888
0.963665, 3.125874
1.045814, 3.111888
1.127962, 3.125874
1.203791, 3.104895
1.279621, 3.125874
1.361769, 3.111888
1.450237, 3.118881
1.526066, 3.111888
1.608215, 3.104895
-1.608215, 2.062937
-1.532385, 2.041958
-1.368088, 2.041958
-1.292259, 2.027972
-1.197472, 2.000000
-1.121643, 2.013986
-1.058452, 1.986014
-0.976303, 1.958042
-0.881517, 1.930070
-0.812006, 1.881119
-0.723539, 1.818182
-0.641390, 1.748252
-0.552923, 1.699301
-0.470774, 1.608392
-0.401264, 1.538462
-0.325434, 1.503497
-0.236967, 1.433566
-0.161137, 1.384615
-0.078989, 1.356643
-0.003160, 1.356643
0.066351, 1.363636
0.154818, 1.384615
0.243286, 1.433566
0.312796, 1.503497
0.382306, 1.538462
0.483412, 1.601399
0.559242, 1.685315
0.635071, 1.762238
0.729858, 1.825175
0.799368, 1.888112
0.887836, 1.937063
0.969984, 1.951049
1.045814, 1.993007
1.127962, 2.006993
1.210111, 2.013986
1.292259, 2.034965
1.374408, 2.055944
1.456556, 2.055944
1.532385, 2.062937
1.608215, 2.069930
