# Mean transversal velocity along vertical profiles behind cylinder (Re=3900).
# Experimental data of Lourenco & Shih (1993) digitized from Fig. 9
# of Lysenko et al. (2012).
# Digitized by mesnardo on 2020/05/22.
# y/D, <v>/U_inf
-1.620186, -0.658460
-1.609246, -1.315266
-1.603777, -2.012509
-1.532673, -0.652005
-1.494386, -2.021011
-1.450630, -0.642861
-1.450630, -1.281226
-1.445160, -2.016673
-1.368587, -0.657419
-1.363117, -1.268125
-1.357648, -1.993509
-1.297483, -1.267778
-1.292013, -0.627019
-1.297483, -1.992728
-1.215440, -1.258630
-1.204501, -0.602782
-1.204501, -1.953374
-1.138866, -0.594953
-1.133397, -1.218153
-1.127927, -1.971698
-1.062293, -0.584042
-1.056823, -1.955248
-1.051354, -1.198164
-0.991189, -1.946052
-0.974780, -0.573298
-0.963841, -1.172969
-0.931024, -1.933906
-0.903676, -0.543262
-0.887268, -1.147983
-0.865390, -1.928305
-0.810694, -0.496465
-0.810694, -1.096553
-0.797020, -1.883413
-0.723182, -0.459319
-0.723182, -1.058740
-0.717712, -1.824678
-0.652078, -1.099034
-0.652078, -1.781455
-0.641139, -0.386248
-0.575504, -1.079618
-0.570035, -0.363705
-0.564565, -1.756468
-0.493461, -0.390357
-0.487992, -1.093221
-0.482522, -1.752151
-0.422357, -0.461207
-0.411418, -1.099728
-0.411418, -1.736358
-0.334845, -0.474810
-0.329375, -1.102300
-0.323905, -1.786331
-0.247332, -0.474810
-0.247332, -1.129590
-0.236393, -1.861289
-0.176228, -0.509292
-0.165289, -1.183672
-0.154350, -1.963369
-0.099655, -0.474810
-0.083246, -1.268125
-0.083246, -2.012075
-0.017611, -0.411737
-0.006672, -1.318098
-0.001203, -2.045532
0.064432, -0.440329
0.064432, -1.355890
0.086310, -2.144519
0.141005, -0.534278
0.151944, -1.483715
0.162883, -2.176689
0.212109, -0.575016
0.233987, -1.629819
0.233987, -2.186545
0.305091, -0.627227
0.316030, -1.737868
0.316030, -2.245631
0.381665, -0.709182
0.387134, -1.767851
0.403543, -2.266119
0.463708, -0.767792
0.480116, -1.863007
0.485586, -2.310696
0.540281, -0.868084
0.562159, -1.885929
0.567629, -2.343993
0.627794, -0.924564
0.633263, -1.872294
0.644202, -2.369604
0.704367, -0.874591
0.715306, -1.810970
0.720776, -2.343785
0.780941, -0.849865
0.791880, -1.731482
0.797349, -2.315676
0.862984, -0.832739
0.879392, -1.673372
0.873923, -2.264454
0.955966, -0.825139
0.950496, -1.633841
0.945027, -2.254043
1.027070, -0.796509
1.027070, -1.614602
1.038009, -2.238010
1.103643, -0.795884
1.109113, -1.581564
1.125522, -2.254667
1.180217, -0.777894
1.196626, -1.561454
1.207565, -2.238773
1.267729, -0.769440
1.267729, -1.527483
1.278669, -2.237802
1.344303, -1.508493
1.355242, -0.746953
1.355242, -2.218229
1.431816, -0.750701
1.431816, -1.495396
1.442755, -2.200635
1.497450, -0.744454
1.513859, -1.486148
1.535737, -2.192965
1.590432, -0.736403
1.590432, -1.481619
1.590432, -2.179084
