# Mean streamwise velocity along centerline behind cylinder (Re=3900).
# Numerical data (TKE) of Lysenko et al. (2012) digitized from Fig. 7
# of Lysenko et al. (2012).
# Digitized by mesnardo on 2020/05/22.
# x/D, <u>/U_inf
0.551462, 0.000289
0.645720, -0.004496
0.736985, -0.011940
0.840219, -0.022220
0.929988, -0.035070
1.012276, -0.049958
1.079603, -0.066308
1.139449, -0.084253
1.191814, -0.101977
1.229218, -0.117485
1.281583, -0.139640
1.326467, -0.160909
1.371352, -0.182177
1.416236, -0.202116
1.461121, -0.219397
1.506005, -0.235791
1.558370, -0.251078
1.633178, -0.264593
1.722947, -0.262820
1.790274, -0.248198
1.835158, -0.232247
1.872562, -0.214523
1.902485, -0.199236
1.932408, -0.181956
1.962331, -0.163346
1.992254, -0.143406
2.022177, -0.122138
2.052100, -0.100205
2.082023, -0.078936
2.111946, -0.055009
2.141869, -0.031082
2.171792, -0.007155
2.201715, 0.017437
2.231638, 0.041364
2.261560, 0.064626
2.291483, 0.088553
2.321406, 0.111816
2.351329, 0.134413
2.381252, 0.157676
2.411175, 0.178944
2.441098, 0.200213
2.471021, 0.221481
2.500944, 0.241421
2.530867, 0.261360
2.560790, 0.280634
2.590713, 0.299244
2.620636, 0.317190
2.650559, 0.333141
2.680482, 0.349092
2.710405, 0.365044
2.740328, 0.380995
2.770251, 0.395617
2.807655, 0.412898
2.852539, 0.433280
2.897424, 0.451890
2.942308, 0.470057
2.987193, 0.486008
3.032077, 0.501960
3.076962, 0.516139
3.129327, 0.532201
3.189173, 0.548817
3.256500, 0.565765
3.331307, 0.582514
3.406114, 0.597934
3.488403, 0.613620
3.578172, 0.627355
3.667941, 0.639762
3.757709, 0.651282
3.851967, 0.661739
3.937247, 0.669449
4.025520, 0.676627
4.109304, 0.682742
4.199073, 0.688059
4.296323, 0.693376
4.588072, 0.706005
4.677841, 0.708663
4.767610, 0.711322
4.857379, 0.713980
4.947148, 0.715974
5.074321, 0.718633
5.208974, 0.721291
5.306224, 0.723064
5.381031, 0.723950
5.508204, 0.726608
5.605453, 0.728381
5.687742, 0.729267
5.837357, 0.731926
5.934606, 0.733698
6.016894, 0.734584
6.151548, 0.737243
6.218874, 0.737243
6.346047, 0.739901
6.405893, 0.739901
6.540547, 0.742560
6.600392, 0.742560
6.720084, 0.745218
6.787411, 0.745218
6.914584, 0.747877
6.996872, 0.747877
7.153968, 0.750536
7.221294, 0.750536
7.348467, 0.753194
7.430755, 0.753194
7.572889, 0.755853
7.662658, 0.755853
7.827235, 0.758511
7.917004, 0.758511
8.066618, 0.761170
8.156387, 0.761170
8.216233, 0.761170
8.350887, 0.763828
8.440656, 0.763828
8.493021, 0.763828
8.650117, 0.766487
8.739886, 0.766487
8.792251, 0.766487
8.934385, 0.769145
9.024154, 0.769145
9.091481, 0.769145
9.263538, 0.771804
9.353307, 0.771804
9.420633, 0.771804
9.577729, 0.774463
9.667498, 0.774463
9.742305, 0.774463
9.906882, 0.777121
