# Mean pressure coefficient along cylinder (Re=3900).
# Experimental data of Norberg (1994) digitized from Fig. 5(b)
# of Lysenko et al. (2012).
# Digitized by mesnardo on 2020/05/22.
# theta, <Cp>
9.344262, 0.946256
18.565574, 0.733436
29.426230, 0.331098
38.852459, -0.154465
49.303279, -0.564347
58.729508, -0.959001
68.975410, -1.126444
78.401639, -1.066552
88.852459, -0.915828
99.713115, -0.871197
109.139344, -0.849183
119.590164, -0.834824
129.426230, -0.835569
140.491803, -0.851559
149.303279, -0.859802
159.549180, -0.860578
168.770492, -0.861277
179.426230, -0.846932
