# Mean streamwise velocity along vertical profiles behind cylinder (Re=3900).
# Experimental data of Ong & Wallace (1996) digitized from Fig. 8
# of Lysenko et al. (2012).
# Digitized by mesnardo on 2020/05/22.
# y/D, <u>/U_inf
-2.802528, 0.993007
-2.107425, 0.986014
-1.753555, 0.986014
-1.387046, 0.972028
-1.121643, 0.944056
-0.843602, 0.895105
-0.704581, 0.874126
-0.565561, 0.839161
-0.426540, 0.811189
-0.274882, 0.776224
-0.135861, 0.755245
0.009479, 0.748252
0.135861, 0.755245
0.274882, 0.776224
0.420221, 0.811189
0.559242, 0.846154
0.691943, 0.881119
0.837283, 0.902098
1.115324, 0.951049
1.393365, 0.979021
1.753555, 0.993007
2.113744, 0.993007
2.821485, 1.006993
-2.789889, 0.720280
-2.088468, 0.720280
-1.728278, 0.720280
-1.387046, 0.692308
-1.109005, 0.678322
-0.824645, 0.643357
-0.685624, 0.615385
-0.552923, 0.594406
-0.420221, 0.566434
-0.262243, 0.531469
-0.129542, 0.510490
0.015798, 0.510490
0.154818, 0.510490
0.281201, 0.531469
0.432859, 0.559441
0.571880, 0.587413
0.704581, 0.622378
0.849921, 0.643357
1.134281, 0.671329
1.412322, 0.692308
1.772512, 0.713287
2.126382, 0.720280
2.821485, 0.713287
-2.802528, 0.167832
-2.101106, 0.160839
-1.740916, 0.153846
-1.399684, 0.132867
-1.045814, 0.111888
-0.704581, 0.048951
-0.401264, -0.006993
-0.211690, -0.027972
-0.003160, -0.048951
0.211690, -0.034965
0.420221, -0.000000
0.710900, 0.055944
1.052133, 0.104895
1.399684, 0.125874
1.747235, 0.153846
2.107425, 0.160839
2.808847, 0.174825
