# Mean transversal velocity along vertical profiles behind cylinder (Re=3900).
# Experimental data of Ong & Wallace (1996) digitized from Fig. 9
# of Lysenko et al. (2012).
# Digitized by mesnardo on 2020/05/22.
# y/D, <v>/U_inf
-2.775444, -2.485240
-2.071082, -2.477860
-1.715670, -2.474170
-1.360258, -2.470480
-1.082391, -2.466790
-0.785137, -2.463100
-0.649435, -2.474170
-0.507270, -2.477860
-0.390953, -2.481550
-0.235864, -2.488930
-0.093700, -2.496310
0.042003, -2.507380
0.177706, -2.518450
0.300485, -2.529520
0.436187, -2.536900
0.558966, -2.544280
0.714055, -2.551661
0.849758, -2.551661
1.140549, -2.547970
1.418417, -2.536900
1.773829, -2.529520
2.109855, -2.525830
2.840065, -2.522140
-2.775444, -2.750923
-2.045234, -2.743542
-1.709208, -2.747232
-1.353796, -2.743542
-1.063005, -2.747232
-0.804523, -2.743542
-0.668821, -2.747232
-0.526656, -2.747232
-0.332795, -2.750923
0.022617, -2.754613
0.358643, -2.761993
0.591276, -2.761993
0.849758, -2.765683
1.121163, -2.765683
1.418417, -2.765683
1.754443, -2.761993
2.129241, -2.758303
2.820679, -2.758303
-2.775444, -2.909594
-2.084006, -2.909594
-1.735057, -2.902214
-1.379645, -2.905904
-1.004847, -2.905904
-0.649435, -2.909594
-0.390953, -2.902214
-0.171244, -2.909594
0.042003, -2.905904
0.242326, -2.909594
0.474960, -2.905904
1.101777, -2.913284
1.418417, -2.909594
1.793215, -2.913284
2.129241, -2.913284
2.820679, -2.905904
