# Mean streamwise velocity along centerline behind cylinder (Re=3900).
# Experimental data of Parnaudeau et al. (2008) digitized from Fig. 7
# of Lysenko et al. (2012).
# Digitized by mesnardo on 2020/05/22.
# x/D, <u>/U_inf
0.574468, -0.018904
0.627660, -0.018904
0.691489, -0.020794
0.744681, -0.028355
0.776596, -0.037807
0.819149, -0.049149
0.882979, -0.056711
0.936170, -0.068053
0.989362, -0.088847
1.031915, -0.109641
1.085106, -0.139887
1.127660, -0.158790
1.170213, -0.189036
1.244681, -0.219282
1.287234, -0.249527
1.329787, -0.277883
1.382979, -0.298677
1.425532, -0.319471
1.478723, -0.328922
1.521277, -0.340265
1.574468, -0.319471
1.627660, -0.310019
1.680851, -0.277883
1.734043, -0.238185
1.787234, -0.198488
1.829787, -0.149338
1.882979, -0.100189
1.925532, -0.049149
1.978723, 0.001890
2.031915, 0.041588
2.074468, 0.092628
2.117021, 0.139887
2.170213, 0.181474
2.234043, 0.221172
2.276596, 0.260870
2.329787, 0.291115
2.382979, 0.330813
2.425532, 0.361059
2.468085, 0.391304
2.521277, 0.421550
2.585106, 0.440454
2.627660, 0.470699
2.680851, 0.491493
2.723404, 0.510397
2.776596, 0.519849
2.819149, 0.540643
2.882979, 0.559546
2.925532, 0.570888
2.978723, 0.591682
3.031915, 0.601134
3.085106, 0.610586
3.127660, 0.620038
3.159574, 0.631380
3.212766, 0.640832
3.255319, 0.650284
3.297872, 0.659735
3.329787, 0.669187
3.393617, 0.672968
3.436170, 0.680529
3.478723, 0.688091
3.542553, 0.691871
3.606383, 0.701323
3.670213, 0.701323
3.734043, 0.706994
3.797872, 0.714556
3.861702, 0.722117
3.946809, 0.722117
4.010638, 0.729679
4.074468, 0.739130
4.159574, 0.741021
4.244681, 0.741021
4.329787, 0.741021
4.414894, 0.741021
4.500000, 0.742911
