# Mean streamwise velocity along vertical profiles behind cylinder (Re=3900).
# Experimental data of Parnaudeau et al. (2008) digitized from Fig. 8
# of Lysenko et al. (2012).
# Digitized by mesnardo on 2020/05/22.
# y/D, <u>/U_inf
-1.597549, 4.700406
-1.594274, 3.175921
-1.599732, 2.127989
-1.528779, 4.707050
-1.527688, 3.185585
-1.528779, 2.126982
-1.468742, 4.717318
-1.460010, 3.185585
-1.468742, 2.124969
-1.401064, 4.722150
-1.401064, 3.189209
-1.392331, 2.131009
-1.331203, 4.734230
-1.332295, 3.200081
-1.323198, 2.131009
-1.272258, 4.741478
-1.263525, 3.196457
-1.234052, 2.121949
-1.212221, 3.206121
-1.191480, 4.758390
-1.168557, 2.110875
-1.135810, 3.213168
-1.123802, 4.766846
-1.092147, 2.110875
-1.064857, 4.776510
-1.049575, 3.201289
-1.021194, 2.112889
-0.993904, 4.797650
-0.981897, 3.218201
-0.966615, 2.099601
-0.927318, 4.815165
-0.920223, 3.222731
-0.898937, 2.098393
-0.865643, 4.835399
-0.842174, 3.225449
-0.829075, 2.076649
-0.798511, 4.855029
-0.770130, 3.242361
-0.757031, 2.036785
-0.726467, 4.873149
-0.704635, 3.219711
-0.688261, 1.998130
-0.693719, 4.867109
-0.660972, 4.722150
-0.655514, 3.178941
-0.611851, 3.030962
-0.611851, 1.910550
-0.611851, 4.169494
-0.562730, 2.813524
-0.562730, 1.835051
-0.557272, 3.755757
-0.508151, 3.609288
-0.513608, 2.594575
-0.508151, 1.738412
-0.464487, 2.426967
-0.464487, 1.649825
-0.437198, 3.554928
-0.415366, 2.304657
-0.409908, 1.557213
-0.374432, 3.518689
-0.377161, 1.472653
-0.366245, 2.209528
-0.322582, 2.102822
-0.295292, 3.468859
-0.311666, 1.388094
-0.268003, 2.018263
-0.262545, 1.289945
-0.224339, 3.434129
-0.229797, 1.907530
-0.211240, 1.206895
-0.158844, 3.414499
-0.158844, 1.797301
-0.147929, 1.140456
-0.096079, 1.074016
-0.087892, 3.394870
-0.096988, 1.734385
-0.052415, 1.673482
-0.027855, 1.040797
-0.025126, 3.375240
0.015809, 1.665932
0.037640, 3.382790
0.052922, 1.046232
0.073117, 1.694622
0.108593, 3.393360
0.120600, 1.083680
0.124967, 1.752505
0.179546, 1.835051
0.179546, 1.148509
0.207927, 3.427183
0.228667, 1.937730
0.234125, 1.220989
0.245041, 3.429599
0.283246, 2.040409
0.277788, 1.305548
0.347649, 3.488791
0.332367, 2.126982
0.332367, 1.390107
0.376030, 1.474667
0.386946, 2.233688
0.419694, 3.529259
0.430609, 2.342407
0.430609, 1.581373
0.474273, 3.564492
0.474273, 2.465220
0.490646, 1.659892
0.528852, 3.647038
0.528852, 2.646418
0.528852, 1.750491
0.572515, 3.900716
0.572515, 2.873923
0.591618, 1.851661
0.627094, 3.077269
0.638010, 4.468472
0.655475, 1.934106
0.696955, 4.851405
0.696955, 3.204913
0.708963, 1.989070
0.769000, 4.873149
0.769000, 3.233301
0.795198, 2.052489
0.834495, 4.841439
0.839953, 3.221221
0.859055, 2.081179
0.906539, 4.817581
0.910905, 3.216188
0.932737, 2.088729
0.968213, 3.209141
0.987316, 4.796140
1.004781, 2.095977
1.033162, 3.196457
1.059360, 4.780134
1.085558, 2.100809
1.103024, 3.194041
1.131405, 4.760806
1.157603, 2.100809
1.183801, 3.188001
1.200174, 4.750840
1.242746, 2.111681
1.254753, 3.197061
1.268944, 4.737854
1.306604, 2.114399
1.327889, 4.730606
1.338805, 3.177129
1.384652, 2.121345
1.397751, 4.720942
1.413033, 3.184981
1.456696, 2.122955
1.478528, 4.719130
1.493810, 3.172297
1.522191, 2.120942
1.527649, 4.713090
1.533107, 3.169881
