# Mean transversal velocity along vertical profiles behind cylinder (Re=3900).
# Experimental data of Parnaudeau et al. (2008) digitized from Fig. 9
# of Lysenko et al. (2012).
# Digitized by mesnardo on 2020/05/22.
# y/D, <v>/U_inf
-1.603777, -0.696564
-1.581899, -2.023961
-1.565490, -1.346207
-1.527203, -0.694482
-1.515170, -2.009593
-1.477978, -1.326427
-1.460475, -0.689693
-1.456099, -1.998974
-1.409608, -1.318098
-1.401404, -0.686569
-1.386089, -1.988355
-1.346709, -1.310290
-1.330300, -0.684591
-1.318267, -1.978985
-1.276699, -1.300607
-1.263572, -0.677199
-1.264666, -1.969303
-1.188092, -0.672619
-1.189186, -1.284991
-1.191374, -1.962744
-1.121364, -0.666580
-1.121364, -1.273122
-1.122458, -1.946920
-1.067762, -1.261098
-1.049166, -1.932136
-1.036039, -0.654087
-0.992283, -1.240640
-0.980250, -1.919330
-0.963841, -0.646591
-0.924461, -1.225024
-0.917350, -1.904495
-0.903676, -0.642947
-0.862655, -1.207221
-0.843511, -0.638002
-0.843511, -1.886536
-0.795379, -1.177550
-0.771314, -0.629725
-0.771314, -1.862174
-0.723182, -1.151002
-0.701303, -0.622386
-0.642232, -1.116333
-0.642232, -1.817199
-0.629106, -0.636597
-0.575504, -1.122372
-0.574410, -1.810952
-0.559096, -0.697605
-0.502212, -0.740290
-0.515339, -1.169221
-0.504400, -1.803769
-0.466113, -1.220495
-0.432202, -0.762777
-0.433296, -1.810536
-0.400479, -1.279577
-0.370397, -0.776988
-0.373131, -1.830317
-0.334845, -1.311851
-0.305309, -0.785265
-0.300204, -1.339961
-0.312966, -1.852961
-0.236393, -0.780893
-0.236393, -1.364947
-0.236393, -1.894865
-0.167477, -0.772772
-0.176228, -1.927139
-0.163101, -1.391807
-0.154350, -1.945878
-0.116063, -1.983358
-0.095279, -0.745287
-0.094185, -1.399824
-0.061368, -2.027865
-0.027457, -0.719676
-0.031285, -1.411796
-0.017611, -2.076276
0.042553, -0.682509
0.020675, -2.117659
0.057868, -1.419292
0.080840, -2.164508
0.113657, -0.655440
0.119127, -1.421166
0.130066, -2.212399
0.173822, -0.632849
0.190231, -1.450317
0.186949, -2.259456
0.243832, -0.620980
0.256959, -1.469265
0.247661, -2.289440
0.286859, -2.321714
0.316030, -0.611454
0.318765, -1.492221
0.354317, -2.342015
0.386040, -0.616608
0.370726, -1.526317
0.425421, -2.362837
0.436360, -1.577331
0.453863, -0.636597
0.480116, -2.379234
0.485586, -1.602317
0.515668, -0.663769
0.534812, -1.652289
0.552314, -2.374393
0.573098, -0.715303
0.582214, -1.682481
0.633263, -0.759810
0.633263, -2.357371
0.627794, -1.688207
0.692334, -1.644169
0.705461, -0.757156
0.705461, -2.330667
0.759063, -1.622618
0.775471, -0.752002
0.777659, -2.305681
0.847669, -0.744662
0.837459, -1.581495
0.846575, -2.287878
0.909475, -0.745756
0.909475, -2.269919
0.928618, -1.559372
0.974562, -0.739665
0.985501, -2.256958
1.000816, -1.537353
1.042385, -0.729671
1.055511, -2.243215
1.092704, -1.509659
1.106378, -0.721550
1.125522, -2.231659
1.151046, -1.505495
1.171466, -0.723424
1.197719, -2.215106
1.213034, -1.488317
1.240382, -0.718427
1.265542, -2.205736
1.278669, -1.476344
1.309298, -0.717177
1.327894, -2.195221
1.347038, -1.468016
1.371651, -0.711139
1.394623, -2.184498
1.420876, -1.450837
1.438379, -0.705934
1.453694, -2.180125
1.493074, -1.445528
1.506201, -0.704684
1.513859, -2.172317
1.530267, -1.446153
